Head Speed           0 mph
Ball Speed         161 mph
Launch Angle      15.5 deg
Back Spin         2565 rpm
Deviation Angle    1.0 deg
Side Spin          439 rpm
Distance           278 yds


0.08, 0.02, 0.00
0.71, 0.20, -0.01
1.34, 0.37, -0.02
1.96, 0.54, -0.03
2.59, 0.72, -0.04
3.21, 0.89, -0.06
3.84, 1.06, -0.07
4.46, 1.24, -0.08
5.07, 1.41, -0.09
5.69, 1.58, -0.10
6.31, 1.75, -0.11
6.92, 1.92, -0.13
7.53, 2.09, -0.14
8.14, 2.26, -0.15
8.75, 2.43, -0.16
9.36, 2.60, -0.17
9.96, 2.77, -0.19
10.57, 2.94, -0.20
11.17, 3.11, -0.21
11.77, 3.28, -0.22
12.37, 3.45, -0.24
12.97, 3.62, -0.25
13.56, 3.79, -0.26
14.16, 3.95, -0.28
14.75, 4.12, -0.29
15.34, 4.29, -0.30
15.93, 4.45, -0.32
16.52, 4.62, -0.33
17.11, 4.78, -0.34
17.69, 4.95, -0.36
18.28, 5.11, -0.37
18.86, 5.28, -0.39
19.44, 5.44, -0.40
20.02, 5.61, -0.41
20.60, 5.77, -0.43
21.17, 5.93, -0.44
21.75, 6.10, -0.46
22.32, 6.26, -0.47
22.89, 6.42, -0.49
23.46, 6.58, -0.50
24.03, 6.74, -0.52
24.60, 6.90, -0.53
25.16, 7.06, -0.55
25.73, 7.22, -0.56
26.29, 7.38, -0.58
26.85, 7.54, -0.59
27.42, 7.70, -0.61
27.97, 7.86, -0.62
28.53, 8.02, -0.64
29.09, 8.18, -0.65
29.64, 8.33, -0.67
30.20, 8.49, -0.68
30.75, 8.65, -0.70
31.30, 8.80, -0.72
31.85, 8.96, -0.73
32.40, 9.12, -0.75
32.94, 9.27, -0.76
33.49, 9.43, -0.78
34.03, 9.58, -0.80
34.58, 9.73, -0.81
35.12, 9.89, -0.83
35.66, 10.04, -0.85
36.20, 10.19, -0.86
36.74, 10.35, -0.88
37.27, 10.50, -0.90
37.81, 10.65, -0.91
38.34, 10.80, -0.93
38.87, 10.95, -0.95
39.40, 11.10, -0.97
39.93, 11.25, -0.98
40.46, 11.40, -1.00
40.99, 11.55, -1.02
41.52, 11.70, -1.03
42.04, 11.85, -1.05
42.57, 11.99, -1.07
43.09, 12.14, -1.09
43.61, 12.29, -1.11
44.13, 12.44, -1.12
44.65, 12.58, -1.14
45.17, 12.73, -1.16
45.68, 12.87, -1.18
46.20, 13.02, -1.20
46.71, 13.16, -1.21
47.22, 13.31, -1.23
47.74, 13.45, -1.25
48.25, 13.59, -1.27
48.76, 13.74, -1.29
49.26, 13.88, -1.31
49.77, 14.02, -1.32
50.28, 14.16, -1.34
50.78, 14.30, -1.36
51.28, 14.44, -1.38
51.79, 14.58, -1.40
52.29, 14.72, -1.42
52.79, 14.86, -1.44
53.29, 15.00, -1.46
53.78, 15.14, -1.47
54.28, 15.28, -1.49
54.78, 15.42, -1.51
55.27, 15.55, -1.53
55.76, 15.69, -1.55
56.26, 15.83, -1.57
56.75, 15.96, -1.59
57.24, 16.10, -1.61
57.73, 16.23, -1.63
